SectionsNo,Intersections,SortedSetTime,ListTime
50,172,0.017028331756591797,0.015311717987060547
100,735,0.02883625030517578,0.012536287307739258
200,3800,0.1483151912689209,0.061489105224609375
300,6758,0.2802267074584961,0.12584686279296875
500,22691,1.0415129661560059,0.46508097648620605
700,42883,1.9966604709625244,0.9453840255737305
1000,81947,3.9151103496551514,1.819807529449463
1200,120283,5.932804346084595,2.573090076446533
1500,189242,9.218660831451416,4.1821465492248535
2000,324847,15.931234359741211,7.238718271255493
2500,522762,26.177448272705078,12.483763456344604
3000,728518,37.33520174026489,17.985525608062744
